API,API,
About,Giới thiệu,
Action,Hành động,
Add Weekly Holidays,Thêm ngày lễ hàng tuần,
Add to Holidays,Thêm vào ngày lễ,
Agent,Đại lý,
Agent Group,Nhóm đại lý,
Agent Name,Tên đại lý,
Allow Resetting SLA,Cho phép đặt lại SLA,
Allow anyone to create tickets,Cho phép bất kỳ ai tạo phiếu,
Apply SLA for Resolution Time,Áp dụng SLA cho Thời gian giải quyết,
Apply To,Áp dụng cho,
Apply to customer portal,Áp dụng cho cổng thông tin khách hàng,
Article,Bài viết,
Assign to,Gán cho,
Assignment Conditions,Điều kiện chỉ định,
Assignment Rule,Quy tắc chỉ định,
Assignment Rules,Quy tắc chỉ định,
Attachment,Tệp đính kèm,
Author,Tác giả,
Auto update status,Tự động cập nhật trạng thái,
Auto-close after (Days),Tự động đóng sau (Ngày),
Automatically Close Tickets,Tự ​​động đóng phiếu,
Average Response Time,Thời gian phản hồi trung bình,
Base Support Rotation,Xoay vòng hỗ trợ cơ sở,
Base URL,URL cơ sở,
Branding,Thương hiệu,
Button,Nút,
Category,Danh mục,
Clear Table,Xóa bảng,
Color,Màu sắc,
Columns,Cột,
Comment,Bình luận,
Commented By,Người bình luận,
Condition,Điều kiện,
Contact,Liên hệ,
Contact HTML,HTML liên hệ,
Contacts,Liên hệ,
Content,Nội dung,
Content Type,Loại nội dung,
Criterion,Tiêu chí,
Customer,Khách hàng,
Customer Name,Tên khách hàng,
Date,Ngày,
Default Priority,Mức độ ưu tiên mặc định,
Default SLA,SLA mặc định,
Default priority,Mức độ ưu tiên mặc định,
Default ticket type,Loại phiếu mặc định,
Description,Mô tả,
Description Weight,Mô tả Trọng lượng,
Details,Chi tiết,
Do not restrict tickets without a Team,Không hạn chế phiếu không có Nhóm,
DocType,Loại tài liệu,
Domain,Tên miền,
Email,Email,
Email Account,Tài khoản email,
Enabled,Đã bật,
End Date,Ngày kết thúc,
End Time,Kết thúc Thời gian,
External link,Liên kết ngoài,
Feedback,Phản hồi,
Feedback (Extra),Phản hồi (Bổ sung),
Feedback (Option),Phản hồi (Tùy chọn),
Feedback (Text),Phản hồi (Văn bản),
Field (fieldname),Trường (tên trường),
Field Name,Tên trường,
Fields,Trường,
Filter Type,Loại bộ lọc,
Filters,Bộ lọc,
First Responded On,Phản hồi đầu tiên vào,
First Response Time,Thời gian phản hồi đầu tiên,
From,Từ,
From Date,Từ Ngày,
